cartodb_id,the_geom,date,ship_1,type,nationality_1,ship_2,nationality_2,location,latitude,longitude,outcome,source,type2,status,victor
74,0101000020E6100000543541D47DD151C02958E36C3AAE3F40,1799-03-22 00:00:00+00,Henry,ship,USA,privateer,France,31.5oN,31.680579,-71.273305,Henry captured,QW3:2,Captured by French,MP,French
1,0101000020E6100000F1F44A5986A954C0952A51F696763740,1798-09-28 00:00:00+00,America,armed merchant ship,USA,privateer,France,near Havana,23.463241,-82.648825,shots fired,QW2:148,engagement but no capture,MP,none
2,0101000020E6100000CC61F71DC36315C010406A1327094240,1798-07-11 00:00:00+00,American,armed merchant ship,USA,3 privateers,France,Gibraltar,36.071505,-5.347424,American beat off privateers,QW2:148,engagement but no capture,MP,none
3,0101000020E61000000000000000804AC00100000000003D40,1798-09-27 00:00:00+00,Amphitrite,armed merchant ship,USA,ship,France,29N53W,29,-53,Amphitrite ran after running out of ammunition,QW2:150,engagement but no capture,MP,none
4,0101000020E610000000000000004050C00000000000804340,1798-05-09 00:00:00+00,Belvedere,armed merchant ship,USA,privateer sloop,France,39N65W,39,-65,shots fired,QW2:153,engagement but no capture,MP,none
5,0101000020E6100000213F1BB96EBA17C04B1AA37554994840,1798-04-22 00:00:00+00,Boston Packet,armed brig,USA,2 brigand boats,France,en route to Jamaica,49.19789,-5.932063,Boston Packet beat off privateers,QW2:154,engagement but no capture,MP,none
6,0101000020E6100000BC202235EDAF51C0B1C05774EB314540,1798-12-28 00:00:00+00,Camilla,armed merchant ship,USA,2 privateers,France,near Boston,42.389998,-70.748853,beat off privateers and rescued Portuguese vessel,QW2:155,engagement but no capture,MP,none
7,0101000020E61000001A16A3AEB53651C0C422861DC6744540,1798-09-25 00:00:00+00,Carrollton,armed merchant ship,USA,schooner and sloop,France,off Portland,42.912296,-68.854839,privateers sailed away without firing,QW2:156,sight but no engagement,MP,none
8,0101000020E61000000B0E2F88485B4EC0DA73999A04472740,1798-09-27 00:00:00+00,Cato,armed merchant ship,USA,freebooter,France,near Tobago,11.638707,-60.713151,prepared for action but no shots fired,QW2:156,sight but no engagement,MP,none
9,0101000020E610000096E7C1DD598554C002F1BA7EC1263740,1798-12-20 00:00:00+00,Chance,armed schooner,USA,privateer,France,6 leagues east of Havana,23.15139,-82.08361,"shots fired; no capture",QW2:156,engagement but no capture,MP,none
10,0101000020E61000000000000000A051C00000000000404340,1798-05-25 00:00:00+00,Diana,armed merchant ship,USA,Jean Bart,France,38o30'N 70o30'W,38.5,-70.5,Diana captured,QW2:160,Captured by French,MP,French
11,0101000020E610000000000000002052C00000000000804340,1798-05-21 00:00:00+00,Olive,schooner,USA,8540,France,39N 72o30'W,39,-72.5,Olive captured,QW2:161,Captured by French,MP,French
46,0101000020E6100000B1D7BB3FDE534DC01AE1ED41089C3740,1799-02-05 00:00:00+00,Venus,schooner,USA,schooner,France,24oN,23.609501,-58.65522,Venus captured,QW2:315,Captured by French,MP,French
75,0101000020E61000000000000000003AC00000000000804040,1799-04-02 00:00:00+00,Harmony,brig,USA,privateer,France,33N 26W,33,-26,Harmony captured,QW3:15,Captured by French,MP,French
76,0101000020E61000003233333333B353C06666666666263D40,1799-04-09 00:00:00+00,Fair Columbian,brig,USA,HMS Hinde,Britain,29o9'N 78o48'W,29.15,-78.8,Fair Columbian captured,QW3:35,Captured by British,MN,British
77,0101000020E61000005C8E57207A4D53C0ACFC321823CA3940,1799-04-14 00:00:00+00,General Washington,ship,USA,HMS Lynx,Britain,near Hole-in-the-Wall,25.789598,-77.210579,General Washington captured,QW3:45,Captured by British,MN,British
78,0101000020E610000069DD06B5DFCA53C0F4A78DEA74CC3240,1799-04-15 00:00:00+00,Britannia,ship,USA,privateer,France,near Jamaica,18.798659,-79.169904,Britannia captured,QW3:54,Captured by French,MP,French
79,0101000020E6100000B81E85EB51304FC00708E6E8F11B3040,1799-04-15 00:00:00+00,Brothers,ship,USA,privateer,France,Montserrat NNE 12 leagues,16.10916,-62.3775,Brothers boarded and pillaged,QW3:55,Boarded by French,MP,French
80,0101000020E6100000B6F3FDD478E94EC037F8C264AA202F40,1799-04-17 00:00:00+00,Constellation and L'Insurgente,frigate,USA,Diligente,France,Guadeloupe NNE 8 leagues,15.5638,-61.824,Dilgente captured,QW3:63,Captured by Americans,NP,American
81,0101000020E610000019AE0E80B85A52C0E161DA37F7314440,1799-04-18 00:00:00+00,Susanna,brig,USA,Earl of Moira (privateer),Britain,Highlands of Neversinks NWbW 12 miles,40.390357,-73.417511,Susanna captured,QW3:65,Captured by British,MP,British
82,0101000020E6100000378C82E0F11A50C04339D1AE42284040,1799-04-28 00:00:00+00,Fair American,brig,USA,3 privateer,France,windward of Barbuda,32.314535,-64.421013,Fair American captured,QW3:109,Captured by French,MP,French
83,0101000020E6100000E3FC4D2844544EC0E90B21E7FD473040,1799-04-30 00:00:00+00,Orange,schooner,USA,Scrutin,France,windward of Guadeloupe,16.281218,-60.65833,Orange captured,QW3:112,Captured by French,MP,French
84,0101000020E610000000000000000052C00000000000003C40,1799-05-01 00:00:00+00,Polly,schooner,USA,privateer,France,28oN 72oW,28,-72,Polly captured,QW3:118,Captured by French,MP,French
85,0101000020E61000008B6CE7FBA9514EC0C0EC9E3C2CB43040,1799-04-30 00:00:00+00,Francis,schooner,USA,2 letters of marque,France,Deseada bearing SbW 10 leagues,16.7038,-60.638,Francis captured,QW3:120,Captured by French,MP,French
86,0101000020E6100000068195438BB44EC012A5BDC117163140,1799-04-17 00:00:00+00,Eagle,brig,USA,Bon Pierre,France,5 leagues to windward of Antigua,17.0863,-61.4105,Bon Pierre captured,QW3:157,Captured by Americans,MP,American
87,0101000020E61000003546EBA86A2218C096438B6CE7034240,1799-05-11 00:00:00+00,Mary Ann,ship,USA,4 privateers,France,3 leagues south of Cape Trafalgar,36.0305,-6.03361,Mary Ann captured,QW3:170,Captured by French,MP,French
88,0101000020E6100000FFFFFFFFFFFF4EC0D122DBF97E6A3440,1799-05-13 00:00:00+00,Union,sloop,USA,Alliance,France (Guadeloupe),20o25'N 62oW,20.416,-62,Union captured,QW3:181,Captured by French,MP,French
89,0101000020E6100000ACADD85F76D74FC069BC749318443840,1799-05-13 00:00:00+00,[unknown],brig,USA,La Victoire,France,24o16'N 63o41'W,24.266,-63.6833,brig captured,QW3:182,Captured by French,MP,French
90,0101000020E6100000FEB7921D1BB115C079B29B19FDFE4140,1799-05-16 00:00:00+00,Ardent,ship,USA,5 privateers,France,straits of Gibraltar,35.992099,-5.422955,ship captured,QW3:195,Captured by French,MP,French
